week sequences_fraction total_sequences
2020-04-27 0.0 2
2020-05-04 0.0 2
2020-05-11 0.0 1
2020-05-18 0.0 1
2020-06-22 0.0 2
2020-06-29 0.0 2
2020-07-06 0.0 1
2020-07-13 0.0 1
2020-07-20 0.0 1
2020-07-27 0.0 1
2020-08-03 0.0 2
2020-08-10 0.0 2
2020-08-17 0.0 1
2020-08-24 0.0 1
2020-08-31 0.0 4
2020-09-07 0.0 4
2020-09-14 0.0 6
2020-09-21 0.0 6
2020-09-28 0.0 1
2020-10-05 0.0 1
2020-10-12 0.0 1
2020-10-19 0.0 1
2020-10-26 0.0 1
2020-11-02 0.0 1
2020-11-09 0.0 15
2020-11-16 0.0 15
2020-11-23 0.0 53
2020-11-30 0.0 53
2020-12-07 0.0 1
2020-12-14 0.0 1
2020-12-21 0.0 106
2020-12-28 0.0 106
2021-01-04 0.0 61
2021-01-11 0.012 61
2021-01-18 0.024 41
2021-01-25 0.012 41
2021-02-01 0.0 106
2021-02-08 0.0 106
2021-02-15 0.0 106
2021-02-22 0.026 106
2021-03-01 0.052 591
2021-03-08 0.026 591
2021-03-15 0.0 611
2021-03-22 0.018 611
2021-03-29 0.036 692
2021-04-05 0.018 692
2021-04-12 0.0 408
2021-04-19 0.0 408
2021-04-26 0.0 304
2021-05-03 0.0 304
2021-05-10 0.0 559
2021-05-17 0.001 559
2021-05-24 0.002 580
2021-05-31 0.074 580
2021-06-07 0.146 426
2021-06-14 0.17 426
2021-06-21 0.195 190
2021-06-28 0.424 190
2021-07-05 0.652 279
2021-07-12 0.659 279
2021-07-19 0.666 356
2021-07-26 0.7 356
2021-08-02 0.735 471
2021-08-09 0.794 471
2021-08-16 0.853 654
2021-08-23 0.833 654
2021-08-30 0.814 955
2021-09-06 0.838 955
2021-09-13 0.862 967
2021-09-20 0.837 967
2021-09-27 0.812 1358
2021-10-04 0.817 1358
2021-10-11 0.822 1521
2021-10-18 0.863 1521
2021-10-25 0.904 2157
2021-11-01 0.917 2157
2021-11-08 0.929 1610
2021-11-15 0.948 1610
2021-11-22 0.966 1518
2021-11-29 0.956 1518
2021-12-06 0.947 730
2021-12-13 0.91 730
2021-12-20 0.872 548
2021-12-27 0.662 548
2022-01-03 0.453 1086
2022-01-10 0.263 1086
2022-01-17 0.073 2399
2022-01-24 0.044 2399
2022-01-31 0.016 1808
2022-02-07 0.009 1808
2022-02-14 0.002 2710
2022-02-21 0.002 2710
2022-02-28 0.001 1841
2022-03-07 0.0 1841
2022-03-14 0.0 2329
2022-03-21 0.0 2329
2022-03-28 0.0 1979
2022-04-04 0.0 1979
2022-04-11 0.0 1271
2022-04-18 0.0 1271
2022-04-25 0.0 958
2022-05-02 0.0 958
2022-05-09 0.0 458
2022-05-16 0.0 458
2022-05-23 0.0 238
2022-05-30 0.0 238
2022-06-06 0.0 232
2022-06-13 0.0 232
2022-06-20 0.0 311
2022-06-27 0.0 311
2022-07-04 0.0 29
