week sequences_fraction total_sequences
2020-04-27 0.0 32
2020-05-04 0.0 32
2020-05-11 0.0 39
2020-05-18 0.0 39
2020-05-25 0.0 43
2020-06-01 0.0 43
2020-06-08 0.0 65
2020-06-15 0.0 65
2020-06-22 0.0 75
2020-06-29 0.0 75
2020-07-06 0.0 46
2020-07-13 0.0 46
2020-07-20 0.0 40
2020-07-27 0.0 40
2020-08-03 0.0 46
2020-08-10 0.0 46
2020-08-17 0.0 36
2020-08-24 0.0 36
2020-08-31 0.0 23
2020-09-07 0.0 23
2020-09-28 0.0 20
2020-10-05 0.0 20
2020-10-12 0.0 17
2020-10-19 0.0 17
2020-11-23 0.0 11
2020-11-30 0.0 11
2020-12-07 0.0 44
2020-12-14 0.0 44
2020-12-21 0.0 25
2020-12-28 0.0 25
2021-01-04 0.0 53
2021-01-11 0.0 53
2021-01-18 0.0 51
2021-01-25 0.0 51
2021-02-01 0.0 57
2021-02-08 0.0 57
2021-02-15 0.0 42
2021-02-22 0.0 42
2021-03-01 0.0 79
2021-03-08 0.0 79
2021-03-15 0.0 78
2021-03-22 0.0 78
2021-03-29 0.0 84
2021-04-05 0.0 84
2021-04-12 0.0 79
2021-04-19 0.0 79
2021-04-26 0.0 89
2021-05-03 0.0 89
2021-05-10 0.0 119
2021-05-17 0.0 119
2021-05-24 0.0 111
2021-05-31 0.0 111
2021-06-07 0.0 84
2021-06-14 0.0 84
2021-06-21 0.0 84
2021-06-28 0.033 84
2021-07-05 0.066 122
2021-07-12 0.075 122
2021-07-19 0.083 96
2021-07-26 0.148 96
2021-08-02 0.212 132
2021-08-09 0.258 132
2021-08-16 0.305 82
2021-08-23 0.515 82
2021-08-30 0.725 91
2021-09-06 0.688 91
2021-09-13 0.65 100
2021-09-20 0.78 100
2021-09-27 0.909 77
2021-10-04 0.854 77
2021-10-11 0.798 99
2021-10-18 0.768 99
2021-10-25 0.738 84
2021-11-01 0.73 84
2021-11-08 0.722 72
2021-11-15 0.831 72
2021-11-22 0.94 100
2021-11-29 0.942 100
2021-12-06 0.943 159
2021-12-13 0.592 159
2021-12-20 0.242 211
2021-12-27 0.167 211
2022-01-03 0.093 183
2022-01-10 0.055 183
2022-01-17 0.017 115
2022-01-24 0.012 115
2022-01-31 0.008 124
2022-02-07 0.004 124
2022-02-14 0.0 87
2022-02-21 0.0 87
2022-02-28 0.0 62
2022-03-07 0.0 62
2022-03-14 0.0 72
2022-03-21 0.0 72
2022-03-28 0.0 65
2022-04-04 0.0 65
2022-04-11 0.0 71
2022-04-18 0.0 71
2022-04-25 0.0 111
2022-05-02 0.0 111
2022-05-09 0.0 146
2022-05-16 0.0 146
2022-05-23 0.0 94
2022-05-30 0.0 94
2022-06-06 0.0 69
