week sequences_fraction total_sequences
2020-04-27 0.0 946
2020-05-04 0.0 946
2020-05-11 0.0 622
2020-05-18 0.0 622
2020-05-25 0.0 212
2020-06-01 0.0 212
2020-06-08 0.0 204
2020-06-15 0.0 204
2020-06-22 0.0 109
2020-06-29 0.0 109
2020-07-06 0.0 209
2020-07-13 0.0 209
2020-07-20 0.0 299
2020-07-27 0.0 299
2020-08-03 0.0 585
2020-08-10 0.0 585
2020-08-17 0.0 734
2020-08-24 0.0 734
2020-08-31 0.0 749
2020-09-07 0.0 749
2020-09-14 0.0 840
2020-09-21 0.0 840
2020-09-28 0.0 1127
2020-10-05 0.0 1127
2020-10-12 0.0 1212
2020-10-19 0.0 1212
2020-10-26 0.0 1956
2020-11-02 0.0 1956
2020-11-09 0.0 2314
2020-11-16 0.0 2314
2020-11-23 0.0 2637
2020-11-30 0.0 2637
2020-12-07 0.0 2784
2020-12-14 0.0 2784
2020-12-21 0.0 2834
2020-12-28 0.0 2834
2021-01-04 0.0 4690
2021-01-11 0.0 4690
2021-01-18 0.0 4110
2021-01-25 0.0 4110
2021-02-01 0.0 3675
2021-02-08 0.0 3675
2021-02-15 0.0 4465
2021-02-22 0.0 4465
2021-03-01 0.0 6325
2021-03-08 0.0 6325
2021-03-15 0.0 10038
2021-03-22 0.002 10038
2021-03-29 0.005 10191
2021-04-05 0.014 10191
2021-04-12 0.022 11044
2021-04-19 0.03 11044
2021-04-26 0.037 10960
2021-05-03 0.061 10960
2021-05-10 0.085 7472
2021-05-17 0.101 7472
2021-05-24 0.117 4754
2021-05-31 0.179 4754
2021-06-07 0.242 4409
2021-06-14 0.297 4409
2021-06-21 0.353 2798
2021-06-28 0.498 2798
2021-07-05 0.643 1926
2021-07-12 0.765 1926
2021-07-19 0.886 4781
2021-07-26 0.921 4781
2021-08-02 0.955 11065
2021-08-09 0.97 11065
2021-08-16 0.988 14890
2021-08-23 0.989 14890
2021-08-30 0.991 12368
2021-09-06 0.994 12368
2021-09-13 0.998 7164
2021-09-20 0.998 7164
2021-09-27 0.999 8720
2021-10-04 0.999 8720
2021-10-11 0.999 7270
2021-10-18 0.999 7270
2021-10-25 0.998 7439
2021-11-01 1.0 7439
2021-11-08 1.0 6926
2021-11-15 0.99 6926
2021-11-22 0.982 10747
2021-11-29 0.757 10747
2021-12-06 0.531 15246
2021-12-13 0.307 15246
2021-12-20 0.086 17435
2021-12-27 0.058 17435
2022-01-03 0.028 14722
2022-01-10 0.019 14722
2022-01-17 0.009 11040
2022-01-24 0.005 11040
2022-01-31 0.002 10016
2022-02-07 0.002 10016
2022-02-14 0.001 8893
2022-02-21 0.0 8893
2022-02-28 0.0 7574
2022-03-07 0.0 7574
2022-03-14 0.0 10051
2022-03-21 0.0 10051
2022-03-28 0.0 10877
2022-04-04 0.0 10877
2022-04-11 0.0 10176
2022-04-18 0.0 10176
2022-04-25 0.0 8767
2022-05-02 0.0 8767
2022-05-09 0.0 7879
2022-05-16 0.0 7879
2022-05-23 0.0 5915
2022-05-30 0.0 5915
2022-06-06 0.0 5364
2022-06-13 0.0 5364
2022-06-20 0.001 4542
2022-06-27 0.0 4542
2022-07-04 0.0 1951
