week sequences_fraction total_sequences
2020-04-27 0.0 172
2020-05-04 0.0 172
2020-05-11 0.0 226
2020-05-18 0.0 226
2020-05-25 0.0 107
2020-06-01 0.0 107
2020-06-08 0.0 80
2020-06-15 0.0 80
2020-06-22 0.0 76
2020-06-29 0.0 76
2020-07-06 0.0 43
2020-07-13 0.0 43
2020-07-20 0.0 85
2020-07-27 0.0 85
2020-08-03 0.0 108
2020-08-10 0.0 108
2020-08-17 0.0 98
2020-08-24 0.0 98
2020-08-31 0.0 96
2020-09-07 0.0 96
2020-09-14 0.0 257
2020-09-21 0.0 257
2020-09-28 0.0 290
2020-10-05 0.0 290
2020-10-12 0.0 424
2020-10-19 0.0 424
2020-10-26 0.0 417
2020-11-02 0.0 417
2020-11-09 0.0 442
2020-11-16 0.0 442
2020-11-23 0.0 545
2020-11-30 0.0 545
2020-12-07 0.0 839
2020-12-14 0.0 839
2020-12-21 0.0 1145
2020-12-28 0.005 1145
2021-01-04 0.011 1658
2021-01-11 0.006 1658
2021-01-18 0.001 1983
2021-01-25 0.003 1983
2021-02-01 0.005 2310
2021-02-08 0.002 2310
2021-02-15 0.0 2591
2021-02-22 0.002 2591
2021-03-01 0.005 4063
2021-03-08 0.002 4063
2021-03-15 0.0 3659
2021-03-22 0.002 3659
2021-03-29 0.003 3692
2021-04-05 0.005 3692
2021-04-12 0.007 3640
2021-04-19 0.007 3640
2021-04-26 0.008 3889
2021-05-03 0.012 3889
2021-05-10 0.015 3274
2021-05-17 0.035 3274
2021-05-24 0.055 2676
2021-05-31 0.141 2676
2021-06-07 0.226 2515
2021-06-14 0.412 2515
2021-06-21 0.598 1758
2021-06-28 0.753 1758
2021-07-05 0.908 5220
2021-07-12 0.944 5220
2021-07-19 0.977 3874
2021-07-26 0.985 3874
2021-08-02 0.993 2817
2021-08-09 0.996 2817
2021-08-16 0.997 3749
2021-08-23 0.998 3749
2021-08-30 0.997 2849
2021-09-06 0.998 2849
2021-09-13 0.999 2666
2021-09-20 1.0 2666
2021-09-27 1.0 2333
2021-10-04 0.999 2333
2021-10-11 0.999 2985
2021-10-18 0.999 2985
2021-10-25 1.0 3788
2021-11-01 0.999 3788
2021-11-08 1.0 3816
2021-11-15 0.981 3816
2021-11-22 0.96 4040
2021-11-29 0.898 4040
2021-12-06 0.834 4393
2021-12-13 0.683 4393
2021-12-20 0.531 3570
2021-12-27 0.312 3570
2022-01-03 0.095 4223
2022-01-10 0.056 4223
2022-01-17 0.017 3807
2022-01-24 0.01 3807
2022-01-31 0.004 3794
2022-02-07 0.002 3794
2022-02-14 0.001 3317
2022-02-21 0.0 3317
2022-02-28 0.0 3459
2022-03-07 0.0 3459
2022-03-14 0.0 3230
2022-03-21 0.0 3230
2022-03-28 0.0 2870
2022-04-04 0.0 2870
2022-04-11 0.0 2364
2022-04-18 0.0 2364
2022-04-25 0.0 2055
2022-05-02 0.0 2055
2022-05-09 0.0 1751
2022-05-16 0.0 1751
2022-05-23 0.0 1532
2022-05-30 0.0 1532
2022-06-06 0.0 1914
2022-06-13 0.0 1914
2022-06-20 0.0 1971
2022-06-27 0.0 1971
2022-07-04 0.0 305
