week sequences_fraction total_sequences
2020-06-22 0.0 2
2020-06-29 0.0 2
2020-07-20 0.0 6
2020-07-27 0.0 6
2020-08-03 0.0 3
2020-08-10 0.0 3
2020-08-17 0.0 2
2020-08-24 0.0 2
2020-09-14 0.0 2
2020-09-21 0.0 2
2020-09-28 0.0 7
2020-10-05 0.0 7
2020-10-12 0.0 7
2020-10-19 0.0 7
2020-10-26 0.0 10
2020-11-02 0.0 10
2020-11-09 0.0 11
2020-11-16 0.0 11
2020-11-23 0.0 18
2020-11-30 0.0 18
2020-12-07 0.0 74
2020-12-14 0.0 74
2020-12-21 0.0 38
2020-12-28 0.0 38
2021-01-04 0.0 66
2021-01-11 0.0 66
2021-01-18 0.0 41
2021-01-25 0.0 41
2021-02-01 0.0 83
2021-02-08 0.0 83
2021-02-15 0.0 46
2021-02-22 0.0 46
2021-03-01 0.0 36
2021-03-08 0.0 36
2021-03-15 0.0 27
2021-03-22 0.007 27
2021-03-29 0.014 69
2021-04-05 0.007 69
2021-04-12 0.0 158
2021-04-19 0.004 158
2021-04-26 0.008 236
2021-05-03 0.074 236
2021-05-10 0.141 688
2021-05-17 0.124 688
2021-05-24 0.107 411
2021-05-31 0.24 411
2021-06-07 0.373 335
2021-06-14 0.458 335
2021-06-21 0.542 253
2021-06-28 0.587 253
2021-07-05 0.632 443
2021-07-12 0.701 443
2021-07-19 0.77 453
2021-07-26 0.781 453
2021-08-02 0.793 295
2021-08-09 0.87 295
2021-08-16 0.947 244
2021-08-23 0.959 244
2021-08-30 0.969 344
2021-09-06 0.977 344
2021-09-13 0.985 518
2021-09-20 0.984 518
2021-09-27 0.984 773
2021-10-04 0.987 773
2021-10-11 0.989 895
2021-10-18 0.993 895
2021-10-25 0.998 515
2021-11-01 0.999 515
2021-11-08 1.0 415
2021-11-15 0.991 415
2021-11-22 0.982 576
2021-11-29 0.89 576
2021-12-06 0.799 433
2021-12-13 0.555 433
2021-12-20 0.31 806
2021-12-27 0.193 806
2022-01-03 0.075 1526
2022-01-10 0.062 1526
2022-01-17 0.05 902
2022-01-24 0.03 902
2022-01-31 0.01 1470
2022-02-07 0.007 1470
2022-02-14 0.005 1251
2022-02-21 0.002 1251
2022-02-28 0.0 924
2022-03-07 0.0 924
2022-03-14 0.001 671
2022-03-21 0.0 671
2022-03-28 0.0 543
2022-04-04 0.0 543
2022-04-11 0.0 468
2022-04-18 0.0 468
2022-04-25 0.0 862
2022-05-02 0.0 862
2022-05-09 0.0 674
2022-05-16 0.0 674
2022-05-23 0.0 536
2022-05-30 0.0 536
2022-06-06 0.0 544
2022-06-13 0.0 544
2022-06-20 0.0 269
