week sequences_fraction total_sequences
2020-04-27 0.0 47
2020-05-04 0.0 47
2020-05-11 0.0 64
2020-05-18 0.0 64
2020-05-25 0.0 165
2020-06-01 0.0 165
2020-06-08 0.0 108
2020-06-15 0.0 108
2020-06-22 0.0 158
2020-06-29 0.0 158
2020-07-06 0.0 110
2020-07-13 0.0 110
2020-07-20 0.0 98
2020-07-27 0.0 98
2020-08-03 0.0 123
2020-08-10 0.0 123
2020-08-17 0.0 175
2020-08-24 0.0 175
2020-08-31 0.0 61
2020-09-07 0.0 61
2020-09-14 0.0 61
2020-09-21 0.0 61
2020-09-28 0.0 57
2020-10-05 0.0 57
2020-10-12 0.0 84
2020-10-19 0.0 84
2020-10-26 0.0 77
2020-11-02 0.0 77
2020-11-09 0.0 170
2020-11-16 0.0 170
2020-11-23 0.0 161
2020-11-30 0.0 161
2020-12-07 0.0 174
2020-12-14 0.0 174
2020-12-21 0.0 177
2020-12-28 0.0 177
2021-01-04 0.0 122
2021-01-11 0.0 122
2021-01-18 0.0 181
2021-01-25 0.0 181
2021-02-01 0.0 195
2021-02-08 0.0 195
2021-02-15 0.0 232
2021-02-22 0.0 232
2021-03-01 0.0 296
2021-03-08 0.0 296
2021-03-15 0.0 263
2021-03-22 0.0 263
2021-03-29 0.0 387
2021-04-05 0.0 387
2021-04-12 0.0 480
2021-04-19 0.0 480
2021-04-26 0.0 345
2021-05-03 0.0 345
2021-05-10 0.0 159
2021-05-17 0.0 159
2021-05-24 0.0 391
2021-05-31 0.0 391
2021-06-07 0.0 395
2021-06-14 0.0 395
2021-06-21 0.0 715
2021-06-28 0.0 715
2021-07-05 0.0 864
2021-07-12 0.0 864
2021-07-19 0.0 995
2021-07-26 0.0 995
2021-08-02 0.0 673
2021-08-09 0.0 673
2021-08-16 0.0 922
2021-08-23 0.0 922
2021-08-30 0.0 1368
2021-09-06 0.0 1368
2021-09-13 0.0 825
2021-09-20 0.0 825
2021-09-27 0.0 895
2021-10-04 0.0 895
2021-10-11 0.0 1381
2021-10-18 0.0 1381
2021-10-25 0.0 1338
2021-11-01 0.0 1338
2021-11-08 0.0 1274
2021-11-15 0.012 1274
2021-11-22 0.023 1576
2021-11-29 0.034 1576
2021-12-06 0.044 1599
2021-12-13 0.108 1599
2021-12-20 0.171 1397
2021-12-27 0.383 1397
2022-01-03 0.595 1855
2022-01-10 0.715 1855
2022-01-17 0.835 1247
2022-01-24 0.845 1247
2022-01-31 0.856 1552
2022-02-07 0.762 1552
2022-02-14 0.669 1684
2022-02-21 0.552 1684
2022-02-28 0.434 1563
2022-03-07 0.32 1563
2022-03-14 0.205 1250
2022-03-21 0.136 1250
2022-03-28 0.067 1922
2022-04-04 0.048 1922
2022-04-11 0.028 1759
2022-04-18 0.018 1759
2022-04-25 0.007 1752
2022-05-02 0.006 1752
2022-05-09 0.004 1916
2022-05-16 0.002 1916
2022-05-23 0.0 2162
2022-05-30 0.0 2162
2022-06-06 0.0 1589
2022-06-13 0.0 1589
2022-06-20 0.0 35
