week sequences_fraction total_sequences
2020-04-27 0.0 19
2020-05-04 0.0 19
2020-05-25 0.0 3
2020-06-01 0.0 3
2020-06-08 0.0 5
2020-06-15 0.0 5
2020-06-22 0.0 3
2020-06-29 0.0 3
2020-07-06 0.0 29
2020-07-13 0.0 29
2020-07-20 0.0 11
2020-07-27 0.0 11
2020-08-03 0.0 18
2020-08-10 0.0 18
2020-08-17 0.0 21
2020-08-24 0.0 21
2020-08-31 0.0 23
2020-09-07 0.0 23
2020-09-14 0.0 46
2020-09-21 0.0 46
2020-09-28 0.0 296
2020-10-05 0.0 296
2020-10-12 0.0 12
2020-10-19 0.0 12
2020-10-26 0.0 1
2020-11-02 0.0 1
2020-11-09 0.0 1
2020-11-16 0.0 1
2020-12-07 0.0 7
2020-12-14 0.0 7
2020-12-21 0.0 1
2020-12-28 0.134 1
2021-01-04 0.267 15
2021-01-11 0.146 15
2021-01-18 0.024 164
2021-01-25 0.047 164
2021-02-01 0.07 385
2021-02-08 0.164 385
2021-02-15 0.258 480
2021-02-22 0.364 480
2021-03-01 0.47 664
2021-03-08 0.548 664
2021-03-15 0.625 1252
2021-03-22 0.705 1252
2021-03-29 0.785 775
2021-04-05 0.846 775
2021-04-12 0.908 818
2021-04-19 0.921 818
2021-04-26 0.934 731
2021-05-03 0.948 731
2021-05-10 0.961 560
2021-05-17 0.94 560
2021-05-24 0.92 362
2021-05-31 0.824 362
2021-06-07 0.729 218
2021-06-14 0.494 218
2021-06-21 0.259 228
2021-06-28 0.184 228
2021-07-05 0.108 102
2021-07-12 0.06 102
2021-07-19 0.011 187
2021-07-26 0.056 187
2021-08-02 0.101 148
2021-08-09 0.052 148
2021-08-16 0.003 293
2021-08-23 0.002 293
2021-08-30 0.0 231
2021-09-06 0.002 231
2021-09-13 0.005 186
2021-09-20 0.002 186
2021-09-27 0.0 281
2021-10-04 0.0 281
2021-10-11 0.0 592
2021-10-18 0.0 592
2021-10-25 0.0 449
2021-11-01 0.0 449
2021-11-08 0.0 778
2021-11-15 0.0 778
2021-11-22 0.0 590
2021-11-29 0.0 590
2021-12-06 0.0 531
2021-12-13 0.0 531
2021-12-20 0.0 499
2021-12-27 0.0 499
2022-01-03 0.0 492
2022-01-10 0.0 492
2022-01-17 0.0 740
2022-01-24 0.0 740
2022-01-31 0.0 800
2022-02-07 0.0 800
2022-02-14 0.0 723
2022-02-21 0.0 723
2022-02-28 0.0 631
2022-03-07 0.0 631
2022-03-14 0.0 579
2022-03-21 0.0 579
2022-03-28 0.0 195
2022-04-04 0.0 195
2022-04-11 0.0 113
2022-04-18 0.0 113
2022-04-25 0.0 45
2022-05-02 0.0 45
2022-05-09 0.0 100
2022-05-16 0.0 100
2022-05-23 0.0 271
2022-05-30 0.0 271
2022-06-06 0.0 92
