week sequences_fraction total_sequences
2020-04-27 0.0 1
2020-05-04 0.0 1
2020-07-20 0.0 3
2020-07-27 0.0 3
2020-09-28 0.0 1
2020-10-05 0.0 1
2020-10-12 0.0 4
2020-10-19 0.0 4
2020-10-26 0.0 7
2020-11-02 0.0 7
2020-11-09 0.0 1
2020-11-16 0.0 1
2020-11-23 0.0 2
2020-11-30 0.0 2
2020-12-21 0.0 8
2020-12-28 0.0 8
2021-01-04 0.0 17
2021-01-11 0.0 17
2021-01-18 0.0 70
2021-01-25 0.0 70
2021-02-01 0.0 36
2021-02-08 0.0 36
2021-02-15 0.0 41
2021-02-22 0.0 41
2021-03-01 0.0 22
2021-03-08 0.0 22
2021-03-15 0.0 28
2021-03-22 0.05 28
2021-03-29 0.1 10
2021-04-05 0.05 10
2021-04-12 0.0 20
2021-04-19 0.0 20
2021-04-26 0.0 37
2021-05-03 0.0 37
2021-05-10 0.0 39
2021-05-17 0.0 39
2021-05-24 0.0 37
2021-05-31 0.0 37
2021-06-07 0.0 84
2021-06-14 0.0 84
2021-06-21 0.0 84
2021-06-28 0.015 84
2021-07-05 0.03 101
2021-07-12 0.015 101
2021-07-19 0.0 77
2021-07-26 0.0 77
2021-08-02 0.0 118
2021-08-09 0.006 118
2021-08-16 0.011 92
2021-08-23 0.014 92
2021-08-30 0.017 178
2021-09-06 0.008 178
2021-09-13 0.0 89
2021-09-20 0.008 89
2021-09-27 0.016 127
2021-10-04 0.008 127
2021-10-11 0.0 81
2021-10-18 0.0 81
2021-10-25 0.0 130
2021-11-01 0.006 130
2021-11-08 0.011 88
2021-11-15 0.012 88
2021-11-22 0.012 167
2021-11-29 0.019 167
2021-12-06 0.026 189
2021-12-13 0.013 189
2021-12-20 0.0 135
2021-12-27 0.0 135
2022-01-03 0.0 143
2022-01-10 0.0 143
2022-01-17 0.0 195
2022-01-24 0.0 195
2022-01-31 0.0 169
2022-02-07 0.0 169
2022-02-14 0.0 85
2022-02-21 0.0 85
2022-02-28 0.0 75
2022-03-07 0.0 75
2022-03-14 0.0 23
2022-03-21 0.0 23
2022-03-28 0.0 11
2022-04-04 0.0 11
2022-04-11 0.0 9
2022-04-18 0.0 9
2022-04-25 0.0 2
2022-05-02 0.0 2
2022-05-09 0.0 3
2022-05-16 0.0 3
2022-05-23 0.0 1
2022-05-30 0.0 1
2022-06-20 0.0 3
