week sequences_fraction total_sequences
2020-04-27 0.0 27
2020-05-04 0.0 27
2020-05-11 0.0 17
2020-05-18 0.0 17
2020-05-25 0.0 8
2020-06-01 0.0 8
2020-06-08 0.0 30
2020-06-15 0.0 30
2020-06-22 0.0 59
2020-06-29 0.0 59
2020-07-06 0.0 32
2020-07-13 0.0 32
2020-07-20 0.0 84
2020-07-27 0.0 84
2020-08-03 0.0 164
2020-08-10 0.0 164
2020-08-17 0.0 47
2020-08-24 0.0 47
2020-08-31 0.0 108
2020-09-07 0.0 108
2020-09-14 0.0 117
2020-09-21 0.0 117
2020-09-28 0.0 156
2020-10-05 0.0 156
2020-10-12 0.0 200
2020-10-19 0.0 200
2020-10-26 0.0 260
2020-11-02 0.0 260
2020-11-09 0.0 163
2020-11-16 0.0 163
2020-11-23 0.0 188
2020-11-30 0.0 188
2020-12-07 0.0 268
2020-12-14 0.0 268
2020-12-21 0.0 271
2020-12-28 0.0 271
2021-01-04 0.0 522
2021-01-11 0.0 522
2021-01-18 0.0 1218
2021-01-25 0.0 1218
2021-02-01 0.0 1301
2021-02-08 0.0 1301
2021-02-15 0.0 1519
2021-02-22 0.0 1519
2021-03-01 0.0 1715
2021-03-08 0.0 1715
2021-03-15 0.0 1812
2021-03-22 0.0 1812
2021-03-29 0.0 1620
2021-04-05 0.0 1620
2021-04-12 0.001 1776
2021-04-19 0.001 1776
2021-04-26 0.001 1771
2021-05-03 0.001 1771
2021-05-10 0.001 1708
2021-05-17 0.004 1708
2021-05-24 0.006 1222
2021-05-31 0.052 1222
2021-06-07 0.098 927
2021-06-14 0.061 927
2021-06-21 0.024 808
2021-06-28 0.016 808
2021-07-05 0.007 880
2021-07-12 0.008 880
2021-07-19 0.008 1060
2021-07-26 0.008 1060
2021-08-02 0.007 1513
2021-08-09 0.008 1513
2021-08-16 0.009 1811
2021-08-23 0.006 1811
2021-08-30 0.004 2272
2021-09-06 0.002 2272
2021-09-13 0.001 1943
2021-09-20 0.001 1943
2021-09-27 0.001 1654
2021-10-04 0.0 1654
2021-10-11 0.0 1621
2021-10-18 0.0 1621
2021-10-25 0.0 2292
2021-11-01 0.0 2292
2021-11-08 0.0 2227
2021-11-15 0.0 2227
2021-11-22 0.001 2159
2021-11-29 0.001 2159
2021-12-06 0.001 2561
2021-12-13 0.0 2561
2021-12-20 0.0 2281
2021-12-27 0.0 2281
2022-01-03 0.0 2842
2022-01-10 0.0 2842
2022-01-17 0.0 2501
2022-01-24 0.0 2501
2022-01-31 0.0 2601
2022-02-07 0.0 2601
2022-02-14 0.0 3039
2022-02-21 0.0 3039
2022-02-28 0.0 3159
2022-03-07 0.0 3159
2022-03-14 0.0 2397
2022-03-21 0.0 2397
2022-03-28 0.0 1902
2022-04-04 0.0 1902
2022-04-11 0.0 1381
2022-04-18 0.0 1381
2022-04-25 0.0 956
2022-05-02 0.0 956
2022-05-09 0.0 750
2022-05-16 0.0 750
2022-05-23 0.0 684
2022-05-30 0.0 684
2022-06-06 0.0 565
2022-06-13 0.0 565
2022-06-20 0.0 374
2022-06-27 0.0 374
2022-07-04 0.0 46
