week sequences_fraction total_sequences
2020-04-27 0.0 6
2020-05-04 0.0 6
2020-05-11 0.0 12
2020-05-18 0.0 12
2020-06-08 0.0 4
2020-06-15 0.0 4
2020-06-22 0.0 20
2020-06-29 0.0 20
2020-07-06 0.0 24
2020-07-13 0.0 24
2020-07-20 0.0 20
2020-07-27 0.0 20
2020-08-03 0.0 17
2020-08-10 0.0 17
2020-08-17 0.0 4
2020-08-24 0.0 4
2020-08-31 0.0 7
2020-09-07 0.0 7
2020-09-14 0.0 18
2020-09-21 0.0 18
2020-09-28 0.0 34
2020-10-05 0.0 34
2020-10-12 0.0 394
2020-10-19 0.0 394
2020-10-26 0.0 535
2020-11-02 0.0 535
2020-11-09 0.0 442
2020-11-16 0.0 442
2020-11-23 0.0 768
2020-11-30 0.0 768
2020-12-07 0.0 670
2020-12-14 0.0 670
2020-12-21 0.0 267
2020-12-28 0.0 267
2021-01-04 0.0 209
2021-01-11 0.0 209
2021-01-18 0.0 314
2021-01-25 0.0 314
2021-02-01 0.0 616
2021-02-08 0.0 616
2021-02-15 0.0 485
2021-02-22 0.0 485
2021-03-01 0.0 722
2021-03-08 0.0 722
2021-03-15 0.0 814
2021-03-22 0.0 814
2021-03-29 0.0 1039
2021-04-05 0.0 1039
2021-04-12 0.001 1100
2021-04-19 0.004 1100
2021-04-26 0.006 878
2021-05-03 0.045 878
2021-05-10 0.084 545
2021-05-17 0.156 545
2021-05-24 0.229 306
2021-05-31 0.236 306
2021-06-07 0.244 160
2021-06-14 0.156 160
2021-06-21 0.067 520
2021-06-28 0.04 520
2021-07-05 0.012 921
2021-07-12 0.01 921
2021-07-19 0.008 520
2021-07-26 0.007 520
2021-08-02 0.005 388
2021-08-09 0.012 388
2021-08-16 0.018 491
2021-08-23 0.011 491
2021-08-30 0.004 570
2021-09-06 0.002 570
2021-09-13 0.0 662
2021-09-20 0.0 662
2021-09-27 0.0 703
2021-10-04 0.0 703
2021-10-11 0.0 803
2021-10-18 0.0 803
2021-10-25 0.0 784
2021-11-01 0.0 784
2021-11-08 0.0 813
2021-11-15 0.0 813
2021-11-22 0.0 1232
2021-11-29 0.0 1232
2021-12-06 0.0 1245
2021-12-13 0.0 1245
2021-12-20 0.0 1145
2021-12-27 0.0 1145
2022-01-03 0.0 1154
2022-01-10 0.0 1154
2022-01-17 0.0 1830
2022-01-24 0.0 1830
2022-01-31 0.0 1629
2022-02-07 0.0 1629
2022-02-14 0.0 1485
2022-02-21 0.0 1485
2022-02-28 0.0 1314
2022-03-07 0.0 1314
2022-03-14 0.0 1310
2022-03-21 0.0 1310
2022-03-28 0.0 1306
2022-04-04 0.0 1306
2022-04-11 0.0 1265
2022-04-18 0.0 1265
2022-04-25 0.0 1298
2022-05-02 0.0 1298
2022-05-09 0.0 1296
2022-05-16 0.0 1296
2022-05-23 0.0 1299
2022-05-30 0.0 1299
2022-06-06 0.0 1228
2022-06-13 0.0 1228
2022-06-20 0.0 1262
