week sequences_fraction total_sequences
2020-05-25 0.0 1
2020-06-01 0.0 1
2020-06-08 0.0 2
2020-06-15 0.0 2
2020-06-22 0.0 11
2020-06-29 0.0 11
2020-07-20 0.0 3
2020-07-27 0.0 3
2020-08-17 0.0 3
2020-08-24 0.0 3
2020-08-31 0.0 2
2020-09-07 0.0 2
2020-09-14 0.0 2
2020-09-21 0.0 2
2020-09-28 0.0 10
2020-10-05 0.0 10
2020-10-12 0.0 45
2020-10-19 0.0 45
2020-10-26 0.0 6
2020-11-02 0.0 6
2020-11-09 0.0 36
2020-11-16 0.0 36
2021-02-01 0.0 2
2021-02-08 0.0 2
2021-03-15 0.0 8
2021-03-22 0.024 8
2021-03-29 0.049 41
2021-04-05 0.024 41
2021-04-12 0.0 4
2021-04-19 0.0 4
2021-04-26 0.0 15
2021-05-03 0.03 15
2021-05-10 0.061 49
2021-05-17 0.042 49
2021-05-24 0.024 41
2021-05-31 0.071 41
2021-06-07 0.118 17
2021-06-14 0.092 17
2021-06-21 0.066 136
2021-06-28 0.049 136
2021-07-05 0.032 62
2021-07-12 0.027 62
2021-07-19 0.021 95
2021-07-26 0.015 95
2021-08-16 0.009 225
2021-08-23 0.008 225
2021-09-27 0.006 346
2021-10-04 0.005 346
2021-10-11 0.003 399
2021-10-18 0.005 399
2021-10-25 0.007 406
2021-11-01 0.008 406
2021-11-08 0.008 125
