week sequences_fraction total_sequences
2020-04-27 0.0 4
2020-05-04 0.0 4
2020-05-25 0.0 1
2020-06-01 0.0 1
2020-06-08 0.0 1
2020-06-15 0.0 1
2020-09-14 0.0 3
2020-09-21 0.0 3
2020-09-28 0.0 2
2020-10-05 0.0 2
2020-10-12 0.0 9
2020-10-19 0.0 9
2020-10-26 0.0 2
2020-11-02 0.0 2
2020-11-09 0.0 5
2020-11-16 0.0 5
2020-11-23 0.0 1
2020-11-30 0.0 1
2020-12-07 0.0 3
2020-12-14 0.0 3
2020-12-21 0.0 1
2020-12-28 0.0 1
2021-01-04 0.0 2
2021-01-11 0.0 2
2021-01-18 0.0 6
2021-01-25 0.0 6
2021-02-01 0.0 6
2021-02-08 0.0 6
2021-02-15 0.0 13
2021-02-22 0.0 13
2021-03-01 0.0 6
2021-03-08 0.0 6
2021-03-15 0.0 3
2021-03-22 0.0 3
2021-03-29 0.0 6
2021-04-05 0.0 6
2021-04-26 0.0 16
2021-05-03 0.0 16
2021-05-10 0.0 24
2021-05-17 0.0 24
2021-05-24 0.0 27
2021-05-31 0.0 27
2021-06-07 0.0 24
2021-06-14 0.0 24
2021-06-21 0.0 29
2021-06-28 0.0 29
2021-07-05 0.0 20
2021-07-12 0.0 20
2021-07-19 0.0 11
2021-07-26 0.0 11
2021-08-02 0.0 31
2021-08-09 0.0 31
2021-08-16 0.0 7
2021-08-23 0.0 7
2021-08-30 0.0 37
2021-09-06 0.0 37
2021-09-13 0.0 31
2021-09-20 0.0 31
2021-09-27 0.0 75
2021-10-04 0.0 75
2021-10-11 0.0 106
2021-10-18 0.0 106
2021-10-25 0.0 83
2021-11-01 0.0 83
2021-11-08 0.0 12
2021-11-15 0.0 12
2021-11-22 0.0 105
2021-11-29 0.0 105
2021-12-06 0.0 139
2021-12-13 0.01 139
2021-12-20 0.02 151
2021-12-27 0.059 151
2022-01-03 0.098 193
2022-01-10 0.271 193
2022-01-17 0.444 144
2022-01-24 0.554 144
2022-01-31 0.664 217
2022-02-07 0.789 217
2022-02-14 0.914 152
2022-02-21 0.861 152
2022-02-28 0.808 26
2022-03-07 0.86 26
2022-03-14 0.912 34
2022-03-21 0.956 34
2022-03-28 1.0 8
2022-04-04 1.0 8
2022-04-11 1.0 22
2022-04-18 1.0 22
2022-04-25 1.0 8
2022-05-02 0.9 8
2022-05-09 0.8 5
2022-05-16 0.671 5
2022-05-23 0.541 37
2022-05-30 0.4 37
2022-06-06 0.258 31
2022-06-13 0.156 31
2022-06-20 0.053 38
