week sequences_fraction total_sequences
2020-04-27 0.0 293
2020-05-04 0.0 293
2020-05-11 0.0 186
2020-05-18 0.0 186
2020-05-25 0.0 226
2020-06-01 0.0 226
2020-06-08 0.0 209
2020-06-15 0.0 209
2020-06-22 0.0 324
2020-06-29 0.0 324
2020-07-06 0.0 256
2020-07-13 0.0 256
2020-07-20 0.0 298
2020-07-27 0.0 298
2020-08-03 0.0 276
2020-08-10 0.0 276
2020-08-17 0.0 218
2020-08-24 0.0 218
2020-08-31 0.0 280
2020-09-07 0.0 280
2020-09-14 0.0 238
2020-09-21 0.0 238
2020-09-28 0.0 275
2020-10-05 0.0 275
2020-10-12 0.0 301
2020-10-19 0.0 301
2020-10-26 0.0 384
2020-11-02 0.0 384
2020-11-09 0.0 556
2020-11-16 0.0 556
2020-11-23 0.0 648
2020-11-30 0.0 648
2020-12-07 0.0 504
2020-12-14 0.0 504
2020-12-21 0.0 577
2020-12-28 0.0 577
2021-01-04 0.0 1001
2021-01-11 0.0 1001
2021-01-18 0.0 945
2021-01-25 0.0 945
2021-02-01 0.0 1242
2021-02-08 0.0 1242
2021-02-15 0.0 1624
2021-02-22 0.002 1624
2021-03-01 0.003 1905
2021-03-08 0.002 1905
2021-03-15 0.0 2674
2021-03-22 0.0 2674
2021-03-29 0.001 3498
2021-04-05 0.0 3498
2021-04-12 0.0 3692
2021-04-19 0.0 3692
2021-04-26 0.0 3481
2021-05-03 0.0 3481
2021-05-10 0.0 3885
2021-05-17 0.0 3885
2021-05-24 0.0 4671
2021-05-31 0.0 4671
2021-06-07 0.0 5080
2021-06-14 0.0 5080
2021-06-21 0.0 5537
2021-06-28 0.0 5537
2021-07-05 0.0 5320
2021-07-12 0.0 5320
2021-07-19 0.0 5000
2021-07-26 0.0 5000
2021-08-02 0.0 5444
2021-08-09 0.0 5444
2021-08-16 0.0 4628
2021-08-23 0.0 4628
2021-08-30 0.0 6409
2021-09-06 0.0 6409
2021-09-13 0.0 4539
2021-09-20 0.0 4539
2021-09-27 0.0 5776
2021-10-04 0.0 5776
2021-10-11 0.0 4105
2021-10-18 0.0 4105
2021-10-25 0.0 4112
2021-11-01 0.0 4112
2021-11-08 0.0 4468
2021-11-15 0.0 4468
2021-11-22 0.0 3518
2021-11-29 0.0 3518
2021-12-06 0.0 2660
2021-12-13 0.0 2660
2021-12-20 0.0 3542
2021-12-27 0.0 3542
2022-01-03 0.0 10373
2022-01-10 0.0 10373
2022-01-17 0.0 8243
2022-01-24 0.0 8243
2022-01-31 0.0 7657
2022-02-07 0.0 7657
2022-02-14 0.0 3822
2022-02-21 0.0 3822
2022-02-28 0.0 3313
2022-03-07 0.0 3313
2022-03-14 0.0 1156
2022-03-21 0.0 1156
2022-03-28 0.0 1125
2022-04-04 0.0 1125
2022-04-11 0.0 1045
2022-04-18 0.0 1045
2022-04-25 0.0 1205
2022-05-02 0.0 1205
2022-05-09 0.0 2860
2022-05-16 0.0 2860
2022-05-23 0.0 2537
2022-05-30 0.0 2537
2022-06-06 0.0 2324
2022-06-13 0.0 2324
2022-06-20 0.0 675
2022-06-27 0.0 675
2022-07-04 0.0 13
