week sequences_fraction total_sequences
2020-04-27 0.0 94
2020-05-04 0.0 94
2020-05-11 0.0 86
2020-05-18 0.0 86
2020-05-25 0.0 67
2020-06-01 0.0 67
2020-06-08 0.0 1364
2020-06-15 0.0 1364
2020-06-22 0.0 323
2020-06-29 0.0 323
2020-07-06 0.0 75
2020-07-13 0.0 75
2020-07-20 0.0 49
2020-07-27 0.0 49
2020-08-03 0.0 143
2020-08-10 0.0 143
2020-08-17 0.0 173
2020-08-24 0.0 173
2020-08-31 0.0 112
2020-09-07 0.0 112
2020-09-14 0.0 315
2020-09-21 0.0 315
2020-09-28 0.0 314
2020-10-05 0.0 314
2020-10-12 0.0 333
2020-10-19 0.0 333
2020-10-26 0.0 364
2020-11-02 0.0 364
2020-11-09 0.0 420
2020-11-16 0.0 420
2020-11-23 0.0 584
2020-11-30 0.0 584
2020-12-07 0.0 825
2020-12-14 0.006 825
2020-12-21 0.011 553
2020-12-28 0.012 553
2021-01-04 0.014 1481
2021-01-11 0.01 1481
2021-01-18 0.005 4835
2021-01-25 0.01 4835
2021-02-01 0.016 7010
2021-02-08 0.018 7010
2021-02-15 0.019 10026
2021-02-22 0.023 10026
2021-03-01 0.027 12259
2021-03-08 0.024 12259
2021-03-15 0.021 15416
2021-03-22 0.02 15416
2021-03-29 0.02 16461
2021-04-05 0.018 16461
2021-04-12 0.016 20891
2021-04-19 0.017 20891
2021-04-26 0.018 18060
2021-05-03 0.015 18060
2021-05-10 0.012 11729
2021-05-17 0.01 11729
2021-05-24 0.008 7385
2021-05-31 0.008 7385
2021-06-07 0.007 3704
2021-06-14 0.005 3704
2021-06-21 0.003 2335
2021-06-28 0.002 2335
2021-07-05 0.001 3110
2021-07-12 0.001 3110
2021-07-19 0.001 5523
2021-07-26 0.0 5523
2021-08-02 0.0 8773
2021-08-09 0.0 8773
2021-08-16 0.0 17042
2021-08-23 0.0 17042
2021-08-30 0.0 20428
2021-09-06 0.0 20428
2021-09-13 0.0 17516
2021-09-20 0.0 17516
2021-09-27 0.0 13619
2021-10-04 0.0 13619
2021-10-11 0.0 13526
2021-10-18 0.0 13526
2021-10-25 0.0 15797
2021-11-01 0.0 15797
2021-11-08 0.0 21507
2021-11-15 0.0 21507
2021-11-22 0.0 23111
2021-11-29 0.0 23111
2021-12-06 0.0 24070
2021-12-13 0.0 24070
2021-12-20 0.0 21789
2021-12-27 0.0 21789
2022-01-03 0.0 23694
2022-01-10 0.0 23694
2022-01-17 0.0 28157
2022-01-24 0.0 28157
2022-01-31 0.0 37597
2022-02-07 0.0 37597
2022-02-14 0.0 38755
2022-02-21 0.0 38755
2022-02-28 0.0 40957
2022-03-07 0.0 40957
2022-03-14 0.0 35311
2022-03-21 0.0 35311
2022-03-28 0.0 27588
2022-04-04 0.0 27588
2022-04-11 0.0 26393
2022-04-18 0.0 26393
2022-04-25 0.0 21972
2022-05-02 0.0 21972
2022-05-09 0.0 17077
2022-05-16 0.0 17077
2022-05-23 0.0 13646
2022-05-30 0.0 13646
2022-06-06 0.0 13147
2022-06-13 0.0 13147
2022-06-20 0.0 17984
2022-06-27 0.0 17984
2022-07-04 0.0 5721
