week sequences_fraction total_sequences
2020-04-27 0.0 110
2020-05-04 0.0 110
2020-05-11 0.0 70
2020-05-18 0.0 70
2020-05-25 0.0 59
2020-06-01 0.0 59
2020-06-08 0.0 48
2020-06-15 0.0 48
2020-06-22 0.0 70
2020-06-29 0.0 70
2020-07-06 0.0 73
2020-07-13 0.0 73
2020-07-20 0.0 21
2020-07-27 0.0 21
2020-08-03 0.0 18
2020-08-10 0.0 18
2020-08-17 0.0 28
2020-08-24 0.0 28
2020-08-31 0.0 24
2020-09-07 0.0 24
2020-09-14 0.0 11
2020-09-21 0.0 11
2020-09-28 0.0 27
2020-10-05 0.0 27
2020-10-12 0.0 23
2020-10-19 0.0 23
2020-10-26 0.0 23
2020-11-02 0.0 23
2020-11-09 0.0 26
2020-11-16 0.0 26
2020-11-23 0.0 23
2020-11-30 0.0 23
2020-12-07 0.0 33
2020-12-14 0.0 33
2020-12-21 0.0 60
2020-12-28 0.0 60
2021-01-04 0.0 68
2021-01-11 0.0 68
2021-01-18 0.0 63
2021-01-25 0.0 63
2021-02-01 0.0 67
2021-02-08 0.0 67
2021-02-15 0.0 28
2021-02-22 0.0 28
2021-03-01 0.0 31
2021-03-08 0.0 31
2021-03-15 0.0 84
2021-03-22 0.006 84
2021-03-29 0.011 186
2021-04-05 0.041 186
2021-04-12 0.072 180
2021-04-19 0.051 180
2021-04-26 0.03 164
2021-05-03 0.132 164
2021-05-10 0.234 334
2021-05-17 0.208 334
2021-05-24 0.182 275
2021-05-31 0.102 275
2021-06-07 0.021 146
2021-06-14 0.028 146
2021-06-21 0.036 137
2021-06-28 0.041 137
2021-07-05 0.047 401
2021-07-12 0.025 401
2021-07-19 0.003 942
2021-07-26 0.017 942
2021-08-02 0.031 717
2021-08-09 0.05 717
2021-08-16 0.069 831
2021-08-23 0.036 831
2021-08-30 0.003 696
2021-09-06 0.006 696
2021-09-13 0.008 476
2021-09-20 0.004 476
2021-09-27 0.0 384
2021-10-04 0.0 384
2021-10-11 0.0 318
2021-10-18 0.0 318
2021-10-25 0.0 345
2021-11-01 0.003 345
2021-11-08 0.006 317
2021-11-15 0.014 317
2021-11-22 0.021 286
2021-11-29 0.02 286
2021-12-06 0.018 487
2021-12-13 0.011 487
2021-12-20 0.004 481
2021-12-27 0.004 481
2022-01-03 0.003 683
2022-01-10 0.002 683
2022-01-17 0.0 448
2022-01-24 0.0 448
2022-01-31 0.0 432
2022-02-07 0.0 432
2022-02-14 0.0 555
2022-02-21 0.0 555
2022-02-28 0.0 587
2022-03-07 0.0 587
2022-03-14 0.0 467
2022-03-21 0.0 467
2022-03-28 0.0 559
2022-04-04 0.0 559
2022-04-11 0.0 563
2022-04-18 0.0 563
2022-04-25 0.0 537
2022-05-02 0.0 537
2022-05-09 0.0 675
2022-05-16 0.0 675
2022-05-23 0.0 653
2022-05-30 0.0 653
2022-06-06 0.0 790
2022-06-13 0.0 790
2022-06-20 0.0 913
2022-06-27 0.0 913
2022-07-04 0.0 142
