week sequences_fraction total_sequences
2020-04-27 0.0 184
2020-05-04 0.0 184
2020-05-11 0.0 97
2020-05-18 0.0 97
2020-05-25 0.0 60
2020-06-01 0.0 60
2020-06-08 0.0 67
2020-06-15 0.0 67
2020-06-22 0.0 135
2020-06-29 0.0 135
2020-07-06 0.0 143
2020-07-13 0.0 143
2020-07-20 0.0 164
2020-07-27 0.0 164
2020-08-03 0.0 249
2020-08-10 0.0 249
2020-08-17 0.0 278
2020-08-24 0.0 278
2020-08-31 0.0 418
2020-09-07 0.0 418
2020-09-14 0.0 478
2020-09-21 0.0 478
2020-09-28 0.0 496
2020-10-05 0.0 496
2020-10-12 0.0 477
2020-10-19 0.0 477
2020-10-26 0.0 355
2020-11-02 0.0 355
2020-11-09 0.0 379
2020-11-16 0.0 379
2020-11-23 0.0 456
2020-11-30 0.0 456
2020-12-07 0.0 947
2020-12-14 0.0 947
2020-12-21 0.0 1040
2020-12-28 0.0 1040
2021-01-04 0.0 1601
2021-01-11 0.0 1601
2021-01-18 0.0 2927
2021-01-25 0.0 2927
2021-02-01 0.0 2585
2021-02-08 0.0 2585
2021-02-15 0.0 2494
2021-02-22 0.0 2494
2021-03-01 0.0 2489
2021-03-08 0.0 2489
2021-03-15 0.0 2480
2021-03-22 0.0 2480
2021-03-29 0.0 2627
2021-04-05 0.0 2627
2021-04-12 0.0 2724
2021-04-19 0.003 2724
2021-04-26 0.006 3222
2021-05-03 0.006 3222
2021-05-10 0.005 2708
2021-05-17 0.003 2708
2021-05-24 0.001 2914
2021-05-31 0.008 2914
2021-06-07 0.015 2751
2021-06-14 0.021 2751
2021-06-21 0.027 4404
2021-06-28 0.03 4404
2021-07-05 0.033 5079
2021-07-12 0.043 5079
2021-07-19 0.053 5488
2021-07-26 0.066 5488
2021-08-02 0.079 4276
2021-08-09 0.085 4276
2021-08-16 0.092 3603
2021-08-23 0.078 3603
2021-08-30 0.063 2808
2021-09-06 0.06 2808
2021-09-13 0.057 2053
2021-09-20 0.063 2053
2021-09-27 0.069 1701
2021-10-04 0.054 1701
2021-10-11 0.039 1981
2021-10-18 0.038 1981
2021-10-25 0.037 2413
2021-11-01 0.039 2413
2021-11-08 0.041 3512
2021-11-15 0.034 3512
2021-11-22 0.027 4120
2021-11-29 0.023 4120
2021-12-06 0.019 4740
2021-12-13 0.014 4740
2021-12-20 0.009 3491
2021-12-27 0.006 3491
2022-01-03 0.003 3770
2022-01-10 0.002 3770
2022-01-17 0.001 3330
2022-01-24 0.001 3330
2022-01-31 0.001 3268
2022-02-07 0.0 3268
2022-02-14 0.0 2790
2022-02-21 0.0 2790
2022-02-28 0.001 2930
2022-03-07 0.0 2930
2022-03-14 0.0 2730
2022-03-21 0.0 2730
2022-03-28 0.0 2021
2022-04-04 0.0 2021
2022-04-11 0.0 1863
2022-04-18 0.0 1863
2022-04-25 0.0 2679
2022-05-02 0.0 2679
2022-05-09 0.0 2698
2022-05-16 0.0 2698
2022-05-23 0.0 2426
2022-05-30 0.0 2426
2022-06-06 0.0 1836
2022-06-13 0.0 1836
2022-06-20 0.0 1481
2022-06-27 0.0 1481
2022-07-04 0.0 358
