week sequences_fraction total_sequences
2020-04-27 0.0 34
2020-05-04 0.0 34
2020-05-11 0.0 17
2020-05-18 0.0 17
2020-05-25 0.0 18
2020-06-01 0.0 18
2020-06-08 0.0 17
2020-06-15 0.0 17
2020-06-22 0.0 10
2020-06-29 0.0 10
2020-07-06 0.0 23
2020-07-13 0.0 23
2020-07-20 0.0 82
2020-07-27 0.0 82
2020-08-03 0.0 15
2020-08-10 0.0 15
2020-08-17 0.0 79
2020-08-24 0.0 79
2020-08-31 0.0 51
2020-09-07 0.0 51
2020-09-14 0.0 67
2020-09-21 0.0 67
2020-09-28 0.0 18
2020-10-05 0.0 18
2020-10-12 0.0 54
2020-10-19 0.0 54
2020-10-26 0.0 85
2020-11-02 0.0 85
2020-11-09 0.0 136
2020-11-16 0.0 136
2020-11-23 0.0 171
2020-11-30 0.0 171
2020-12-07 0.0 99
2020-12-14 0.0 99
2020-12-21 0.0 96
2020-12-28 0.0 96
2021-01-04 0.0 114
2021-01-11 0.0 114
2021-01-18 0.0 107
2021-01-25 0.0 107
2021-02-01 0.0 148
2021-02-08 0.0 148
2021-02-15 0.0 235
2021-02-22 0.0 235
2021-03-01 0.0 304
2021-03-08 0.0 304
2021-03-15 0.0 222
2021-03-22 0.0 222
2021-03-29 0.0 308
2021-04-05 0.0 308
2021-04-12 0.0 165
2021-04-19 0.0 165
2021-04-26 0.0 153
2021-05-03 0.0 153
2021-05-10 0.0 119
2021-05-17 0.0 119
2021-05-24 0.0 139
2021-05-31 0.0 139
2021-06-07 0.0 106
2021-06-14 0.0 106
2021-06-21 0.0 55
2021-06-28 0.0 55
2021-07-05 0.0 41
2021-07-12 0.0 41
2021-07-19 0.0 174
2021-07-26 0.0 174
2021-08-02 0.0 294
2021-08-09 0.0 294
2021-08-16 0.0 358
2021-08-23 0.0 358
2021-08-30 0.0 774
2021-09-06 0.0 774
2021-09-13 0.0 1045
2021-09-20 0.0 1045
2021-09-27 0.0 1071
2021-10-04 0.0 1071
2021-10-11 0.0 677
2021-10-18 0.0 677
2021-10-25 0.0 425
2021-11-01 0.0 425
2021-11-08 0.0 264
2021-11-15 0.0 264
2021-11-22 0.0 143
2021-11-29 0.0 143
2021-12-06 0.0 246
2021-12-13 0.0 246
2021-12-20 0.0 345
2021-12-27 0.0 345
2022-01-03 0.0 801
2022-01-10 0.0 801
2022-01-17 0.0 803
2022-01-24 0.0 803
2022-01-31 0.0 806
2022-02-07 0.0 806
2022-02-14 0.0 703
2022-02-21 0.0 703
2022-02-28 0.0 492
2022-03-07 0.0 492
2022-03-14 0.0 564
2022-03-21 0.0 564
2022-03-28 0.0 476
2022-04-04 0.0 476
2022-04-11 0.0 231
2022-04-18 0.0 231
2022-04-25 0.0 55
2022-05-02 0.0 55
2022-05-09 0.0 50
2022-05-16 0.0 50
2022-05-23 0.0 37
2022-05-30 0.0 37
2022-06-06 0.0 23
2022-06-13 0.02 23
2022-06-20 0.04 25
2022-06-27 0.02 25
2022-07-04 0.0 50
